metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_2,score_3,score_4,score_1
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,,
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,,
accuracy,2,2.18,False,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,0.82,0.18,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,,
completeness,2,2.32,False,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,0.68,0.32,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,,
completeness,4,4.02,True,0.02,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,0.98,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
accuracy,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
completeness,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
accuracy,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
completeness,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
accuracy,4,3.99,True,,GenerateReactApp,component_generation,,2,,0.01,0.99,
completeness,4,4.02,True,0.02,GenerateReactApp,component_generation,,2,,,0.98,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,,
completeness,5,4.98,True,0.98,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,0.02,
accuracy,4,4.02,True,0.02,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,0.98,
completeness,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,,
accuracy,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,,
completeness,4,4.01,True,0.01,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,0.99,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
completeness,4,4.04,True,0.04,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,0.96,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
completeness,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
accuracy,4,4.06,True,0.06,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,,0.94,
completeness,4,3.95,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,0.05,0.95,
accuracy,5,5.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,,,
completeness,4,4.01,True,0.01,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,,0.99,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
accuracy,4,4.01,True,0.01,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,,0.99,
completeness,4,4.38,False,0.38,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,,0.62,
accuracy,5,5.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,,
completeness,3,3.32,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,0.68,0.32,
accuracy,4,3.56,False,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.44,0.56,
completeness,1,1.38,False,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,0.38,,,0.62
accuracy,4,4.02,True,0.02,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,0.98,
completeness,5,4.56,False,0.56,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,0.44,
